id,name
251,ပန်ဆန်း(ပန်ခမ်း)
252,နားဖန်း
253,ဟိုပန်
254,မိုင်းမော
255,ပန်ဝိုင်
256,ရွာငံ
257,ပင်းတယ
258,ဟိုပုံး
259,ဆီဆိုင်
260,ပင်လောင်း
261,နမ့်ဆန်
262,မန်တုံ
263,ကုန်းကြမ်း
264,လောက်ကိုင်
265,ကျောက်မဲ
266,နမ္မတူ
267,နောင်ချို
268,သီပေါ
269,ကျိုင်းတုံ
270,မိုင်းခတ်
271,မိုင်းပျဥ်း
272,မိုင်းယန်း
273,မိုင်းလား
274,တာချီလိတ်
275,မိုင်းဖြတ်
276,မိုင်းယောင်း
277,တောင်ကြီ'
278,ရပ်စောက်
279,ကလော
280,ဖယ်ခုံ
281,ညောင်ရွှေ
282,မူဆယ်
283,နန့်ခမ်း
284,ကွတ်ခိုင်
285,မဘိမ်း
286,မိုးမိတ်
287,မိုင်းဆတ်
288,မိုင်းတုံ
289,လာရှိုး
290,သိန္နီ
291,ကွမ်းလုံ
292,တန့်ယန်း
293,မိုင်းရယ်
294,လင်းခေး
295,မောင်မယ်
296,မိုင်းပန်
297,လွိုင်လင်
298,လဲချား
299,မိုင်းကိုင်
300,နမ့်စန်
301,ကွမ်ဟိန်း
302,မိုးနဲ
303,မိုင်းနှူး
304,ကျေးသီး
305,ပုသိမ်
306,ကန်ကြီးထောင့်
307,သာပေါင်း
308,ငပုတော
309,ကျုံပျော်
310,ရေကြည်
311,ကျောင်းကုန်ူ
312,ကျိုက်လတ်
313,ဒေးဒရဲ
314,ဖျာပုံ
315,ဘိုကလေး
316,ညောင်တုန်း
317,ဓနုဖြူ
318,ပန်းတနော်
319,မအူပင်
320,မြောင်းမြ
321,ဝါးခယ်မ
322,အိမ်မဲ
323,မော်လမြိုင်ကျွန်း
324,လပွတ္တာ
325,ဟင်္သာတ
326,ဇလွန်
327,လေးမျက်နှာ
328,မြန်အောင်
329,ကြံခင်း
330,အင်္ဂပူ
331,သမိုင်း
